Kind,Name,MaxCyclomatic,CountLineCode,CountLineComment
Function,"BinaryDataProcessor.BinaryDataProcessor.calculate_binary_info",,7,2
Function,"BinaryDataProcessor.BinaryDataProcessor.clean_non_binary_chars",,2,1
Function,"BinaryDataProcessor.BinaryDataProcessor.convert_to_ascii",,6,3
Function,"BinaryDataProcessor.BinaryDataProcessor.convert_to_utf8",,2,2
Module File,"BinaryDataProcessor.py",3,21,13
Class,"BookManagementDB.BookManagementDB",1,37,68
Function,"BookManagementDB.BookManagementDB.__init__",,4,8
Function,"BookManagementDB.BookManagementDB.add_book",,4,12
Function,"BookManagementDB.BookManagementDB.borrow_book",,4,9
Function,"BookManagementDB.BookManagementDB.create_table",,11,8
Function,"BookManagementDB.BookManagementDB.remove_book",,4,9
Function,"BookManagementDB.BookManagementDB.return_book",,4,9
Function,"BookManagementDB.BookManagementDB.search_books",,5,10
Module File,"BookManagementDB.py",1,38,68
Class,"ChandrasekharSieve.ChandrasekharSieve",4,14,18
Function,"ChandrasekharSieve.ChandrasekharSieve.__init__",,3,4
Function,"ChandrasekharSieve.ChandrasekharSieve.generate_primes",,8,5
Function,"ChandrasekharSieve.ChandrasekharSieve.get_primes",,2,4
Module File,"ChandrasekharSieve.py",4,14,18
Class,"ComplexCalculator.ComplexCalculator",2,17,13
Function,"ComplexCalculator.ComplexCalculator.__init__",,2,0
Function,"ComplexCalculator.ComplexCalculator.add",,2,1
Function,"ComplexCalculator.ComplexCalculator.divide",,4,2
Function,"ComplexCalculator.ComplexCalculator.multiply",,2,2
Function,"ComplexCalculator.ComplexCalculator.subtract",,2,1
Module File,"ComplexCalculator.py",2,17,13
Class,"DataStatistics.DataStatistics",3,24,21
Function,"DataStatistics.DataStatistics.mean",,6,4
Function,"DataStatistics.DataStatistics.median",,10,6
Function,"DataStatistics.DataStatistics.mode",,7,5
Module File,"DataStatistics.py",3,25,21
Class,"DataStatistics2.DataStatistics2",1,15,12
Function,"DataStatistics2.DataStatistics2.__init__",,2,1
Function,"DataStatistics2.DataStatistics2.get_correlation",,2,3
Function,"DataStatistics2.DataStatistics2.get_max",,2,1
Function,"DataStatistics2.DataStatistics2.get_min",,2,1
Function,"DataStatistics2.DataStatistics2.get_std_deviation",,2,1
Function,"DataStatistics2.DataStatistics2.get_sum",,2,1
Function,"DataStatistics2.DataStatistics2.get_variance",,2,1
Module File,"DataStatistics2.py",1,23,19
Class,"EightPuzzle.EightPuzzle",5,47,62
Function,"EightPuzzle.EightPuzzle.__init__",,3,5
Function,"EightPuzzle.EightPuzzle.find_blank",,5,7
Function,"EightPuzzle.EightPuzzle.get_possible_moves",,12,12
Function,"EightPuzzle.EightPuzzle.move",,12,14
Function,"EightPuzzle.EightPuzzle.solve",,14,21
Module File,"EightPuzzle.py",5,47,62
Class,"EncryptionUtils.EncryptionUtils",7,50,59
Function,"EncryptionUtils.EncryptionUtils.__init__",,2,4
Function,"EncryptionUtils.EncryptionUtils.caesar_cipher",,12,16
Function,"EncryptionUtils.EncryptionUtils.rail_fence_cipher",,20,18
Function,"EncryptionUtils.EncryptionUtils.vigenere_cipher",,15,18
Module File,"EncryptionUtils.py",7,50,59
Class,"FitnessTracker.FitnessTracker",4,33,32
Function,"FitnessTracker.FitnessTracker.__init__",,9,4
Function,"FitnessTracker.FitnessTracker.calculate_calorie_intake",,12,10
Function,"FitnessTracker.FitnessTracker.condition_judge",,9,10
Function,"FitnessTracker.FitnessTracker.get_BMI",,2,5
Module File,"FitnessTracker.py",4,33,32
Class,"GomokuGame.GomokuGame",6,36,42
Function,"GomokuGame.GomokuGame.__init__",,4,4
Function,"GomokuGame.GomokuGame._check_five_in_a_row",,17,16
Function,"GomokuGame.GomokuGame.check_winner",,8,8
Function,"GomokuGame.GomokuGame.make_move",,6,11
Module File,"GomokuGame.py",6,36,42
Class,"IPAddress.IPAddress",5,26,36
Function,"IPAddress.IPAddress.__init__",,2,4
Function,"IPAddress.IPAddress.get_binary",,7,9
Function,"IPAddress.IPAddress.get_octets",,5,8
Function,"IPAddress.IPAddress.is_valid",,11,12
Module File,"IPAddress.py",5,26,36
Class,"ImageProcessor.ImageProcessor",3,41,9
Function,"ImageProcessor.ImageProcessor.__init__",,2,1
Function,"ImageProcessor.ImageProcessor.adjust_brightness",,9,1
Function,"ImageProcessor.ImageProcessor.load_image",,5,1
Function,"ImageProcessor.ImageProcessor.resize_image",,8,1
Function,"ImageProcessor.ImageProcessor.rotate_image",,8,1
Function,"ImageProcessor.ImageProcessor.save_image",,8,1
Module File,"ImageProcessor.py",3,42,9
Class,"JSONProcessor.JSONProcessor",4,29,16
Function,"JSONProcessor.JSONProcessor.process_json",,12,6
Function,"JSONProcessor.JSONProcessor.read_json",,9,4
Function,"JSONProcessor.JSONProcessor.write_json",,7,3
Module File,"JSONProcessor.py",4,31,16
Class,"MovieBookingSystem.MovieBookingSystem",5,33,58
Function,"MovieBookingSystem.MovieBookingSystem.__init__",,2,8
Function,"MovieBookingSystem.MovieBookingSystem.add_movie",,13,18
Function,"MovieBookingSystem.MovieBookingSystem.available_movies",,7,11
Function,"MovieBookingSystem.MovieBookingSystem.book_ticket",,10,18
Module File,"MovieBookingSystem.py",5,35,58
Class,"NumberConverter.NumberConverter",1,19,12
Function,"NumberConverter.NumberConverter.binary_to_decimal",,2,1
Function,"NumberConverter.NumberConverter.decimal_to_binary",,2,2
Function,"NumberConverter.NumberConverter.decimal_to_hex",,2,2
Function,"NumberConverter.NumberConverter.decimal_to_octal",,2,2
Function,"NumberConverter.NumberConverter.hex_to_decimal",,2,1
Function,"NumberConverter.NumberConverter.octal_to_decimal",,2,1
Module File,"NumberConverter.py",1,19,12
Class,"PersonRequest.PersonRequest",2,18,27
Function,"PersonRequest.PersonRequest.__init__",,4,6
Function,"PersonRequest.PersonRequest._validate_name",,4,6
Function,"PersonRequest.PersonRequest._validate_phoneNumber",,4,6
Function,"PersonRequest.PersonRequest._validate_sex",,5,6
Module File,"PersonRequest.py",2,18,27
Class,"PushBoxGame.PushBoxGame",12,63,77
Function,"PushBoxGame.PushBoxGame.__init__",,9,11
Function,"PushBoxGame.PushBoxGame.check_win",,7,8
Function,"PushBoxGame.PushBoxGame.init_game",,11,16
Function,"PushBoxGame.PushBoxGame.move",,28,32
Function,"PushBoxGame.PushBoxGame.print_map",,7,7
Module File,"PushBoxGame.py",12,63,77
Class,"SQLGenerator.SQLGenerator",3,36,27
Function,"SQLGenerator.SQLGenerator.__init__",,2,4
Function,"SQLGenerator.SQLGenerator.delete",,3,1
Function,"SQLGenerator.SQLGenerator.insert",,7,4
Function,"SQLGenerator.SQLGenerator.select",,11,4
Function,"SQLGenerator.SQLGenerator.select_by_age_range",,3,1
Function,"SQLGenerator.SQLGenerator.select_female_under_age",,3,1
Function,"SQLGenerator.SQLGenerator.update",,6,3
Module File,"SQLGenerator.py",3,36,27
Class,"SQLQueryBuilder.SQLQueryBuilder",4,47,23
Function,"SQLQueryBuilder.SQLQueryBuilder.delete",,9,4
Function,"SQLQueryBuilder.SQLQueryBuilder.insert",,7,4
Function,"SQLQueryBuilder.SQLQueryBuilder.select",,14,6
Function,"SQLQueryBuilder.SQLQueryBuilder.update",,12,6
Module File,"SQLQueryBuilder.py",4,47,23
Class,"SignInSystem.SignInSystem",3,31,47
Function,"SignInSystem.SignInSystem.__init__",,2,4
Function,"SignInSystem.SignInSystem.add_user",,6,9
Function,"SignInSystem.SignInSystem.all_not_signed_in",,6,8
Function,"SignInSystem.SignInSystem.all_signed_in",,5,7
Function,"SignInSystem.SignInSystem.check_sign_in",,5,8
Function,"SignInSystem.SignInSystem.sign_in",,6,8
Module File,"SignInSystem.py",3,31,47
Class,"StudentDatabaseProcessor.StudentDatabaseProcessor",1,42,43
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.__del__",,2,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.__init__",,4,6
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.create_student_table",,12,7
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.delete_student_by_name",,7,8
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.insert_student",,8,9
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.search_student_by_name",,8,9
Module File,"StudentDatabaseProcessor.py",1,43,43
Class,"TicTacToe.TicTacToe",7,27,34
Function,"TicTacToe.TicTacToe.__init__",,3,5
Function,"TicTacToe.TicTacToe.check_winner",,12,8
Function,"TicTacToe.TicTacToe.is_board_full",,5,7
Function,"TicTacToe.TicTacToe.make_move",,6,11
Module File,"TicTacToe.py",7,27,34
Class,"TimeUtils.TimeUtils",1,23,70
Function,"TimeUtils.TimeUtils.__init__",,2,3
Function,"TimeUtils.TimeUtils.add_seconds",,3,9
Function,"TimeUtils.TimeUtils.datetime_to_string",,2,8
Function,"TimeUtils.TimeUtils.get_current_date",,2,8
Function,"TimeUtils.TimeUtils.get_current_time",,2,8
Function,"TimeUtils.TimeUtils.get_format_time",,3,14
Function,"TimeUtils.TimeUtils.get_minutes",,6,9
Function,"TimeUtils.TimeUtils.string_to_datetime",,2,8
Module File,"TimeUtils.py",1,25,70
Class,"Warehouse.Warehouse",2,37,96
Function,"Warehouse.Warehouse.__init__",,3,9
Function,"Warehouse.Warehouse.add_product",,5,13
Function,"Warehouse.Warehouse.change_order_status",,6,15
Function,"Warehouse.Warehouse.create_order",,7,20
Function,"Warehouse.Warehouse.get_product_quantity",,5,14
Function,"Warehouse.Warehouse.track_order",,5,12
Function,"Warehouse.Warehouse.update_product_quantity",,5,10
Module File,"Warehouse.py",2,37,96
Class,"XMLProcessor.XMLProcessor",2,26,22
Function,"XMLProcessor.XMLProcessor.__init__",,3,1
Function,"XMLProcessor.XMLProcessor.find_element",,3,3
Function,"XMLProcessor.XMLProcessor.process_xml_data",,5,5
Function,"XMLProcessor.XMLProcessor.read_xml",,7,5
Function,"XMLProcessor.XMLProcessor.write_xml",,7,5
Module File,"XMLProcessor.py",2,27,22
