Class,AccessGatewayFilter.AccessGatewayFilter,3,0.25,0,5,4,24,6,2,,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment
Class,CombinationCalculator.CombinationCalculator,3,0,4,6,5,26,0,1,,,,,,,,,
Class,CombinationCalculator.CombinationCalculator,3,0.5,6,6,6,28,14,1,,,,,,,,,
Class,CombinationCalculator.CombinationCalculator,3,0.34,4,6,5,32,11,1,,,,,,,,,
Class,CookiesUtil.CookiesUtil,3,0,2,4,3,31,0,3,,,,,,,,,
Class,CookiesUtil.CookiesUtil,3,0,2,4,3,26,0,3,,,,,,,,,
Class,CookiesUtil.CookiesUtil,3,1.08,2,4,4,24,26,2,,,,,,,,,
Class,CookiesUtil.CookiesUtil,2,0.59,2,4,3,22,13,2,,,,,,,,,
Class,Course.Classroom,7,0.74,2,5,4,50,37,2,,,,,,,,,
Class,Course.Course,1,0.6,0,1,0,5,3,0,,,,,,,,,
Class,CurrencyConverter.CurrencyConverter,2,0,2,5,4,25,0,1,,,,,,,,,
Class,CurrencyConverter.CurrencyConverter,2,1.41,2,5,10,27,38,1,,,,,,,,,
Class,CurrencyConverter.CurrencyConverter,2,0.59,2,5,9,27,16,1,,,,,,,,,
Class,DataStatistics.DataStatistics,2,0.73,0,3,2,15,11,1,,,,,,,,,
Class,DataStatistics4.DataStatistics4,1,0,1,4,3,27,0,0,,,,,,,,,
Class,DataStatistics4.DataStatistics4,1,0,1,4,3,28,0,0,,,,,,,,,
Class,DataStatistics4.DataStatistics4,2,0.71,2,4,20,34,24,1,,,,,,,,,
Class,DataStatistics4.DataStatistics4,1,0.57,1,4,13,30,17,0,,,,,,,,,
Class,DatabaseProcessor.DatabaseProcessor,3,0,1,5,4,51,0,3,,,,,,,,,
Class,DatabaseProcessor.DatabaseProcessor,2,0,1,5,4,33,0,1,,,,,,,,,
Class,DatabaseProcessor.DatabaseProcessor,2,1.11,1,7,7,45,50,1,,,,,,,,,
Class,DatabaseProcessor.DatabaseProcessor,3,0.55,3,5,11,40,22,1,,,,,,,,,
Class,DecryptionUtils.DecryptionUtils,12,0.05,1,4,6,55,3,3,,,,,,,,,
Class,DecryptionUtils.DecryptionUtils,5,0.17,2,4,8,41,7,3,,,,,,,,,
Class,DecryptionUtils.DecryptionUtils,7,1.29,0,4,20,48,62,2,,,,,,,,,
Class,DecryptionUtils.DecryptionUtils,7,0.7,1,4,18,60,42,3,,,,,,,,,
Class,DiscountStrategy.Customer,1,0,0,1,0,3,0,0,,,,,,,,,
Class,DiscountStrategy.DiscountStrategy,3,0,1,6,5,36,0,2,,,,,,,,,
Class,DiscountStrategy.DiscountStrategy,3,0,1,6,5,35,0,2,,,,,,,,,
Class,DiscountStrategy.DiscountStrategy,3,1.26,1,6,6,38,48,2,,,,,,,,,
Class,DiscountStrategy.DiscountStrategy,4,0.21,1,6,5,43,9,2,,,,,,,,,
Class,DiscountStrategy.Item,1,0,0,1,0,5,0,0,,,,,,,,,
Class,DocFileHandler.DocFileHandler,4,1.14,3,6,6,56,64,3,,,,,,,,,
Class,DocFileHandler.DocFileHandler,3,0.17,2,6,5,36,6,2,,,,,,,,,
Class,EightPuzzle.EightPuzzle,5,0,1,5,4,43,0,3,,,,,,,,,
Class,EmailClient.EmailClient,3,0,1,6,5,31,0,2,,,,,,,,,
Class,EmailClient.EmailClient,3,0,1,6,5,31,0,2,,,,,,,,,
Class,EmailClient.EmailClient,3,1.37,1,6,7,35,48,2,,,,,,,,,
Class,EmailClient.EmailClient,3,0.4,1,6,5,35,14,2,,,,,,,,,
Class,EncryptionUtils.EncryptionUtils,5,0,1,4,3,39,0,2,,,,,,,,,
Class,EncryptionUtils.EncryptionUtils,6,0.78,3,4,21,36,28,2,,,,,,,,,
Class,ExcelProcessor.ExcelProcessor,5,0,3,4,3,41,0,3,,,,,,,,,
Class,ExcelProcessor.ExcelProcessor,4,0,4,4,3,40,0,3,,,,,,,,,
Class,ExcelProcessor.ExcelProcessor,5,1.19,3,4,4,42,50,4,,,,,,,,,
Class,ExcelProcessor.ExcelProcessor,5,0.71,3,4,3,38,27,3,,,,,,,,,
Class,ExpressionCalculator.ExpressionCalculator,9,0,2,7,6,63,0,3,,,,,,,,,
Class,ExpressionCalculator.ExpressionCalculator,9,0,2,7,6,64,0,3,,,,,,,,,
Class,ExpressionCalculator.ExpressionCalculator,9,1.07,0,7,7,57,61,3,,,,,,,,,
Class,ExpressionCalculator.ExpressionCalculator,8,0.37,1,7,13,60,22,3,,,,,,,,,
Class,FitnessTracker.FitnessTracker,5,1.08,1,4,8,36,39,1,,,,,,,,,
Class,HRManagementSystem.HRManagementSystem,2,0,0,6,5,31,0,1,,,,,,,,,
Class,HRManagementSystem.HRManagementSystem,2,0,0,6,5,42,0,1,,,,,,,,,
Class,HRManagementSystem.HRManagementSystem,2,1.39,2,6,6,33,46,1,,,,,,,,,
Class,HRManagementSystem.HRManagementSystem,2,0.42,3,6,5,33,14,1,,,,,,,,,
Class,Hotel.Hotel,6,0,0,5,4,39,0,2,,,,,,,,,
Class,Hotel.Hotel,6,0,0,5,4,41,0,2,,,,,,,,,
Class,Hotel.Hotel,6,1.23,0,5,15,43,53,2,,,,,,,,,
Class,Hotel.Hotel,6,0.95,0,5,12,42,40,2,,,,,,,,,
Class,HtmlUtil.HtmlUtil,2,0,0,4,3,26,0,1,,,,,,,,,
Class,HtmlUtil.HtmlUtil,3,0,0,4,3,28,0,2,,,,,,,,,
Class,HtmlUtil.HtmlUtil,2,0.97,0,4,12,31,30,1,,,,,,,,,
Class,HtmlUtil.HtmlUtil,2,0.58,2,4,14,26,15,1,,,,,,,,,
Class,IPAddress.IPAddress,6,0.58,1,4,15,26,15,2,,,,,,,,,
Class,Interpolation.Interpolation,10,0,1,3,2,49,0,6,,,,,,,,,
Class,Interpolation.Interpolation,6,0.88,2,3,12,40,35,2,,,,,,,,,
Class,Interpolation.Interpolation,6,0.54,2,3,14,46,25,2,,,,,,,,,
Class,IpUtil.IpUtil,4,0,0,4,3,32,0,2,,,,,,,,,
Class,IpUtil.IpUtil,3,0,1,4,3,29,0,1,,,,,,,,,
Class,IpUtil.IpUtil,2,0.45,0,3,3,22,10,1,,,,,,,,,
Class,IpUtil.IpUtil,2,0.95,0,3,3,22,21,1,,,,,,,,,
Class,JobMarketplace.JobMarketplace,2,0,0,8,7,28,0,1,,,,,,,,,
Class,JobMarketplace.JobMarketplace,2,0,0,8,7,28,0,1,,,,,,,,,
Class,JobMarketplace.JobMarketplace,2,0.46,0,8,8,24,11,1,,,,,,,,,
Class,JobMarketplace.JobMarketplace,5,0.98,0,8,7,50,49,4,,,,,,,,,
Class,KappaCalculator.KappaCalculator,1,0.12,0,2,1,17,2,0,,,,,,,,,
Class,KappaCalculator.KappaCalculator,3,0.75,2,2,9,24,18,1,,,,,,,,,
Class,KappaCalculator.KappaCalculator,3,1.73,1,2,11,22,38,1,,,,,,,,,
Class,KappaCalculator.KappaCalculator,1,1.07,0,2,10,15,16,0,,,,,,,,,
Class,Lemmatization.Lemmatization,6,1.68,2,4,18,31,52,2,,,,,,,,,
Class,LongestWord.LongestWord,3,0.29,0,3,5,14,4,2,,,,,,,,,
Class,LongestWord.LongestWord,4,0.8,0,3,6,15,12,2,,,,,,,,,
Class,LongestWord.LongestWord,3,1.67,0,3,7,15,25,2,,,,,,,,,
Class,LongestWord.LongestWord,3,0.6,0,3,6,15,9,2,,,,,,,,,
Class,MahjongConnect.MahjongConnect,5,0.94,1,6,15,48,45,4,,,,,,,,,
Class,MahjongConnect.MahjongConnect,6,0.45,2,6,5,44,20,4,,,,,,,,,
Class,Manacher.Manacher,3,0.68,1,3,12,22,15,2,,,,,,,,,
Class,Manacher.Manacher,3,0.33,1,3,7,21,7,2,,,,,,,,,
Class,Manacher.Manacher,3,0.79,1,4,4,33,26,2,,,,,,,,,
Class,Manacher.Manacher,3,1.19,1,3,9,21,25,2,,,,,,,,,
Class,MetricsCalculator.MetricsCalculator,7,0.21,1,6,5,78,16,2,,,,,,,,,
Class,MetricsCalculator.MetricsCalculator,5,1.34,1,6,11,38,51,2,,,,,,,,,
Class,MetricsCalculator.MetricsCalculator,5,0.4,1,6,5,35,14,2,,,,,,,,,
Class,MetricsCalculator2.MetricsCalculator2,7,0,4,3,2,51,0,3,,,,,,,,,
Class,MetricsCalculator2.MetricsCalculator2,7,0.13,4,3,2,48,6,3,,,,,,,,,
Class,MetricsCalculator2.MetricsCalculator2,7,0.43,4,3,3,46,20,3,,,,,,,,,
Class,MetricsCalculator2.MetricsCalculator2,9,0.7,2,3,2,54,38,4,,,,,,,,,
Class,MinesweeperGame.MinesweeperGame,8,0.91,1,5,20,46,42,6,,,,,,,,,
Class,MinesweeperGame.MinesweeperGame,9,0.81,1,5,14,48,39,6,,,,,,,,,
Class,MinesweeperGame.MinesweeperGame,9,0.37,2,5,12,46,17,6,,,,,,,,,
Class,MinesweeperGame.MinesweeperGame,8,0.23,2,5,4,44,10,6,,,,,,,,,
Class,MovieBookingSystem.MovieBookingSystem,6,0.55,0,4,3,29,16,4,,,,,,,,,
Class,MovieTicketDB.MovieTicketDB,1,1.21,0,5,9,33,40,0,,,,,,,,,
Class,MovieTicketDB.MovieTicketDB,1,0.39,0,5,4,38,15,0,,,,,,,,,
Class,MusicPlayer.MusicPlayer,4,0.16,0,9,8,58,9,2,,,,,,,,,
Class,MusicPlayer.MusicPlayer,4,0.69,0,9,8,59,41,3,,,,,,,,,
Class,MusicPlayer.MusicPlayer,4,1.35,0,9,9,63,85,3,,,,,,,,,
Class,MusicPlayer.MusicPlayer,4,0.19,0,9,8,69,13,2,,,,,,,,,
Class,NLPDataProcessor.NLPDataProcessor,2,0.19,0,4,3,16,3,1,,,,,,,,,
Class,NLPDataProcessor.NLPDataProcessor,2,0.21,0,3,2,14,3,1,,,,,,,,,
Class,NLPDataProcessor.NLPDataProcessor,2,0.79,0,3,3,14,11,1,,,,,,,,,
Class,NLPDataProcessor.NLPDataProcessor,2,1.33,0,3,3,15,20,1,,,,,,,,,
Class,NLPDataProcessor2.NLPDataProcessor2,2,1,1,3,3,15,15,1,,,,,,,,,
Class,NumberConverter.NumberConverter,1,0.63,2,6,5,19,12,0,,,,,,,,,
Class,NumberWordFormatter.NumberWordFormatter,4,0,3,8,7,58,0,2,,,,,,,,,
Class,NumberWordFormatter.NumberWordFormatter,5,0.36,3,7,6,50,18,2,,,,,,,,,
Class,NumberWordFormatter.NumberWordFormatter,9,0.73,2,6,31,85,62,3,,,,,,,,,
Class,NumberWordFormatter.NumberWordFormatter,5,0.39,3,8,11,57,22,2,,,,,,,,,
Class,NumericEntityUnescaper.NumericEntityUnescaper,9,0.4,2,3,5,42,17,4,,,,,,,,,
Class,NumericEntityUnescaper.NumericEntityUnescaper,7,0.81,1,3,4,27,22,3,,,,,,,,,
Class,NumericEntityUnescaper.NumericEntityUnescaper,1,1.8,0,3,3,10,18,0,,,,,,,,,
Class,NumericEntityUnescaper.NumericEntityUnescaper,1,1.33,0,3,2,9,12,0,,,,,,,,,
Class,Order.Order,3,0.17,0,4,3,24,4,2,,,,,,,,,
Class,Order.Order,4,0.42,0,4,3,26,11,3,,,,,,,,,
Class,Order.Order,4,1.5,0,4,4,26,39,3,,,,,,,,,
Class,Order.Order,3,0.55,0,4,3,22,12,2,,,,,,,,,
Class,PDFHandler.PDFHandler,4,0,3,3,2,23,0,3,,,,,,,,,
Class,PDFHandler.PDFHandler,4,1.08,3,3,10,24,26,2,,,,,,,,,
Class,PDFHandler.PDFHandler,3,1.29,1,3,3,21,27,2,,,,,,,,,
Class,PageUtil.PageUtil,1,0.79,1,4,10,34,27,0,,,,,,,,,
Class,PageUtil.PageUtil,1,1,2,4,10,35,35,0,,,,,,,,,
Class,PageUtil.PageUtil,1,0.94,1,4,9,33,31,0,,,,,,,,,
Class,PageUtil.PageUtil,1,0.32,1,4,8,25,8,0,,,,,,,,,
Class,PushBoxGame.PushBoxGame,6,0.67,2,4,8,48,32,3,,,,,,,,,
Class,RPGCharacter.RPGCharacter,2,0,0,6,5,31,0,1,,,,,,,,,
Class,RPGCharacter.RPGCharacter,2,0,0,6,5,28,0,1,,,,,,,,,
Class,RPGCharacter.RPGCharacter,2,1,0,6,6,27,27,1,,,,,,,,,
Class,RPGCharacter.RPGCharacter,2,0.55,0,6,5,29,16,1,,,,,,,,,
Class,RegexUtils.RegexUtils,1,0,1,10,9,25,0,0,,,,,,,,,
Class,RegexUtils.RegexUtils,1,0,1,10,9,21,0,0,,,,,,,,,
Class,RegexUtils.RegexUtils,1,1.24,1,10,10,21,26,0,,,,,,,,,
Class,RegexUtils.RegexUtils,1,1.19,1,10,10,21,25,0,,,,,,,,,
Class,SQLGenerator.SQLGenerator,3,0.69,1,7,19,36,25,1,,,,,,,,,
Class,SQLQueryBuilder.SQLQueryBuilder,2,0.68,0,4,15,28,19,1,,,,,,,,,
Class,Server.Server,3,0,0,6,5,33,0,1,,,,,,,,,
Class,Server.Server,3,0,0,6,5,33,0,1,,,,,,,,,
Class,Server.Server,3,2,0,6,6,32,64,1,,,,,,,,,
Class,Server.Server,3,0.82,2,6,5,40,33,1,,,,,,,,,
Class,ShoppingCart.ShoppingCart,3,0,0,5,4,21,0,2,,,,,,,,,
Class,ShoppingCart.ShoppingCart,3,0,0,5,4,21,0,2,,,,,,,,,
Class,ShoppingCart.ShoppingCart,3,1.71,2,5,5,24,41,2,,,,,,,,,
Class,ShoppingCart.ShoppingCart,3,0.61,2,5,4,23,14,2,,,,,,,,,
Class,Snake.Snake,4,0,0,5,4,40,0,2,,,,,,,,,
Class,Snake.Snake,4,0,0,5,4,36,0,2,,,,,,,,,
Class,Snake.Snake,5,0.86,0,5,7,43,37,2,,,,,,,,,
Class,Snake.Snake,8,0.55,0,5,7,47,26,2,,,,,,,,,
Class,SplitSentence.SplitSentence,3,0,0,4,3,17,0,2,,,,,,,,,
Class,SplitSentence.SplitSentence,3,0,0,3,2,15,0,2,,,,,,,,,
Class,SplitSentence.SplitSentence,3,0.88,0,3,3,16,14,2,,,,,,,,,
Class,SplitSentence.SplitSentence,3,0.65,0,3,3,17,11,2,,,,,,,,,
Class,Statistics3.Statistics3,1,0,0,7,6,24,0,0,,,,,,,,,
Class,Statistics3.Statistics3,1,0,0,7,6,24,0,0,,,,,,,,,
Class,Statistics3.Statistics3,2,0.42,1,7,16,48,20,1,,,,,,,,,
Class,Statistics3.Statistics3,3,0.57,0,7,6,40,23,1,,,,,,,,,
Class,Stock.Stock,1,0.6,0,1,0,5,3,0,,,,,,,,,
Class,Stock.StockPortfolioTracker,4,1.25,0,8,7,52,65,3,,,,,,,,,
Class,StockPortfolioTracker.StockPortfolioTracker,3,0,0,8,7,37,0,2,,,,,,,,,
Class,StockPortfolioTracker.StockPortfolioTracker,3,0,0,8,7,38,0,2,,,,,,,,,
Class,StockPortfolioTracker.StockPortfolioTracker,3,0.33,0,8,8,40,13,2,,,,,,,,,
Class,StudentDatabaseProcessor.StudentDatabaseProcessor,1,0.38,0,5,4,37,14,0,,,,,,,,,
Class,TextFileProcessor.TextFileProcessor,2,0,4,5,4,29,0,2,,,,,,,,,
Class,TextFileProcessor.TextFileProcessor,2,1.3,3,5,5,33,43,3,,,,,,,,,
Class,TextFileProcessor.TextFileProcessor,2,0.65,3,5,6,20,13,2,,,,,,,,,
Class,Thermostat.Thermostat,3,0,2,8,7,41,0,2,,,,,,,,,
Class,Thermostat.Thermostat,3,0,2,8,7,40,0,2,,,,,,,,,
Class,Thermostat.Thermostat,3,0.45,2,8,8,38,17,2,,,,,,,,,
Class,Thermostat.Thermostat,4,0.26,1,8,7,39,10,2,,,,,,,,,
Class,TimeUtils.TimeUtils,1,0.83,2,8,8,24,20,0,,,,,,,,,
Class,TriCalculator.TriCalculator,2,0,1,6,5,24,0,1,,,,,,,,,
Class,TriCalculator.TriCalculator,2,0,1,6,5,24,0,1,,,,,,,,,
Class,TriCalculator.TriCalculator,2,1.96,1,6,6,24,47,1,,,,,,,,,
Class,TriCalculator.TriCalculator,2,1.28,2,6,6,29,37,1,,,,,,,,,
Class,TwentyFourPointGame.TwentyFourPointGame,3,0.05,3,5,4,21,1,2,,,,,,,,,
Class,TwentyFourPointGame.TwentyFourPointGame,2,0,2,5,4,16,0,1,,,,,,,,,
Class,TwentyFourPointGame.TwentyFourPointGame,2,0.68,3,5,5,19,13,1,,,,,,,,,
Class,TwentyFourPointGame.TwentyFourPointGame,2,0.5,4,5,4,20,10,1,,,,,,,,,
Class,URLHandler.URLHandler,4,0.05,0,7,6,42,2,3,,,,,,,,,
Class,URLHandler.URLHandler,4,0.06,0,7,6,33,2,3,,,,,,,,,
Class,URLHandler.URLHandler,1,2.21,0,6,6,19,42,0,,,,,,,,,
Class,URLHandler.URLHandler,1,0.54,0,6,5,13,7,0,,,,,,,,,
Class,UrlPath.UrlPath,1,0,0,4,3,12,0,0,,,,,,,,,
Class,UrlPath.UrlPath,2,0,0,4,3,14,0,1,,,,,,,,,
Class,UrlPath.UrlPath,3,1.78,0,4,4,18,32,2,,,,,,,,,
Class,UrlPath.UrlPath,3,0.54,0,6,5,26,14,1,,,,,,,,,
Class,UserLoginDB.UserLoginDB,1,0,0,6,5,22,0,0,,,,,,,,,
Class,UserLoginDB.UserLoginDB,1,0,0,6,5,22,0,0,,,,,,,,,
Class,UserLoginDB.UserLoginDB,1,1.3,0,6,6,27,35,0,,,,,,,,,
Class,UserLoginDB.UserLoginDB,2,0.52,0,6,5,27,14,1,,,,,,,,,
Class,VectorUtil.VectorUtil,2,0,1,4,3,21,0,1,,,,,,,,,
Class,VectorUtil.VectorUtil,1,0,1,4,3,13,0,0,,,,,,,,,
Class,VectorUtil.VectorUtil,3,0.65,0,4,4,17,11,2,,,,,,,,,
Class,VectorUtil.VectorUtil,2,1.15,0,4,12,26,30,1,,,,,,,,,
Class,VendingMachine.VendingMachine,4,0,0,6,5,36,0,3,,,,,,,,,
Class,VendingMachine.VendingMachine,3,0,0,6,5,30,0,1,,,,,,,,,
Class,VendingMachine.VendingMachine,4,1.39,0,6,6,36,50,3,,,,,,,,,
Class,VendingMachine.VendingMachine,4,1.32,0,7,6,41,54,3,,,,,,,,,
Class,Warehouse.Warehouse,2,0,1,7,6,37,0,1,,,,,,,,,
Class,Warehouse.Warehouse,2,1.41,1,7,6,37,52,1,,,,,,,,,
Class,WeatherSystem.WeatherSystem,4,0,0,5,4,30,0,2,,,,,,,,,
Class,WeatherSystem.WeatherSystem,4,0,0,5,4,29,0,2,,,,,,,,,
Class,WeatherSystem.WeatherSystem,4,0.76,0,5,7,29,22,2,,,,,,,,,
Class,WeatherSystem.WeatherSystem,5,0.21,1,5,5,28,6,2,,,,,,,,,
Class,Words2Numbers.Words2Numbers,6,0,3,3,4,42,0,3,,,,,,,,,
Class,Words2Numbers.Words2Numbers,5,0,2,3,4,39,0,3,,,,,,,,,
Class,Words2Numbers.Words2Numbers,9,0.81,3,3,9,62,50,5,,,,,,,,,
Class,Words2Numbers.Words2Numbers,7,0.54,4,3,10,52,28,4,,,,,,,,,
Class,XMLProcessor.XMLProcessor,2,0.06,0,5,4,31,2,1,,,,,,,,,
Class,XMLProcessor.XMLProcessor,3,0.34,1,5,4,32,11,2,,,,,,,,,
