Kind,Name,MaxCyclomatic,CountLineComment,CountLineCode
Function,"CamelCaseMap.CamelCaseMap.__len__",,0,2
Function,"CamelCaseMap.CamelCaseMap.__setitem__",,0,2
Function,"CamelCaseMap.CamelCaseMap._convert_key",,0,2
Function,"CamelCaseMap.CamelCaseMap._to_camel_case",,0,3
Module File,"CamelCaseMap.py",1,0,19
Class,"Chat.Chat",2,0,24
Function,"Chat.Chat.__init__",,0,2
Function,"Chat.Chat.add_user",,0,5
Function,"Chat.Chat.get_messages",,0,4
Function,"Chat.Chat.remove_user",,0,5
Function,"Chat.Chat.send_message",,0,7
Module File,"Chat.py",2,0,25
Class,"ClassRegistrationSystem.ClassRegistrationSystem",3,0,28
Function,"ClassRegistrationSystem.ClassRegistrationSystem.__init__",,0,3
Function,"ClassRegistrationSystem.ClassRegistrationSystem.get_all_major",,0,2
Function,"ClassRegistrationSystem.ClassRegistrationSystem.get_most_popular_class_in_major",,0,9
Function,"ClassRegistrationSystem.ClassRegistrationSystem.get_students_by_major",,0,2
Function,"ClassRegistrationSystem.ClassRegistrationSystem.register_class",,0,4
Function,"ClassRegistrationSystem.ClassRegistrationSystem.register_student",,0,7
Module File,"ClassRegistrationSystem.py",3,0,28
Class,"Classroom.Classroom",3,0,27
Function,"Classroom.Classroom.__init__",,0,3
Function,"Classroom.Classroom.add_course",,0,3
Function,"Classroom.Classroom.check_course_conflict",,0,9
Function,"Classroom.Classroom.is_free_at",,0,8
Function,"Classroom.Classroom.remove_course",,0,3
Module File,"Classroom.py",3,0,28
Class,"CombinationCalculator.CombinationCalculator",3,0,26
Function,"CombinationCalculator.CombinationCalculator.__init__",,0,2
Function,"CombinationCalculator.CombinationCalculator._select",,0,7
Function,"CombinationCalculator.CombinationCalculator.count",,0,2
Function,"CombinationCalculator.CombinationCalculator.count_all",,0,3
Function,"CombinationCalculator.CombinationCalculator.select",,0,4
Function,"CombinationCalculator.CombinationCalculator.select_all",,0,5
Module File,"CombinationCalculator.py",3,0,28
Class,"CookiesUtil.CookiesUtil",3,0,26
Function,"CookiesUtil.CookiesUtil.__init__",,0,3
Function,"CookiesUtil.CookiesUtil._save_cookies",,0,11
Function,"CookiesUtil.CookiesUtil.get_cookies",,0,4
Function,"CookiesUtil.CookiesUtil.load_cookies",,0,7
Module File,"CookiesUtil.py",3,0,27
Class,"CurrencyConverter.CurrencyConverter",2,0,25
Function,"CurrencyConverter.CurrencyConverter.__init__",,0,10
Function,"CurrencyConverter.CurrencyConverter.add_currency_rate",,0,4
Function,"CurrencyConverter.CurrencyConverter.convert",,0,4
Function,"CurrencyConverter.CurrencyConverter.get_supported_currencies",,0,2
Function,"CurrencyConverter.CurrencyConverter.update_currency_rate",,0,4
Module File,"CurrencyConverter.py",2,0,25
Class,"DataStatistics4.DataStatistics4",1,0,28
Function,"DataStatistics4.DataStatistics4.correlation_coefficient",,0,7
Function,"DataStatistics4.DataStatistics4.kurtosis",,0,7
Function,"DataStatistics4.DataStatistics4.pdf",,0,2
Function,"DataStatistics4.DataStatistics4.skewness",,0,7
Module File,"DataStatistics4.py",1,0,29
Class,"DatabaseProcessor.DatabaseProcessor",2,0,33
Function,"DatabaseProcessor.DatabaseProcessor.__init__",,0,4
Function,"DatabaseProcessor.DatabaseProcessor.create_table",,0,9
Function,"DatabaseProcessor.DatabaseProcessor.delete_from_database",,0,6
Function,"DatabaseProcessor.DatabaseProcessor.insert_into_database",,0,7
Function,"DatabaseProcessor.DatabaseProcessor.search_database",,0,6
Module File,"DatabaseProcessor.py",2,0,35
Class,"DecryptionUtils.DecryptionUtils",5,7,41
Function,"DecryptionUtils.DecryptionUtils.__init__",,0,2
Function,"DecryptionUtils.DecryptionUtils.caesar_decipher",,0,5
Function,"DecryptionUtils.DecryptionUtils.rail_fence_decipher",,7,17
Function,"DecryptionUtils.DecryptionUtils.vigenere_decipher",,0,16
Module File,"DecryptionUtils.py",5,7,41
Class,"DiscountStrategy.DiscountStrategy",3,0,35
Function,"DiscountStrategy.DiscountStrategy.BulkItemPromo",,0,6
Function,"DiscountStrategy.DiscountStrategy.FidelityPromo",,0,5
Function,"DiscountStrategy.DiscountStrategy.LargeOrderPromo",,0,6
Function,"DiscountStrategy.DiscountStrategy.__init__",,0,5
Function,"DiscountStrategy.DiscountStrategy.due",,0,6
Function,"DiscountStrategy.DiscountStrategy.total",,0,3
Module File,"DiscountStrategy.py",3,0,35
Class,"EmailClient.EmailClient",3,0,31
Function,"EmailClient.EmailClient.__init__",,0,4
Function,"EmailClient.EmailClient.clear_inbox",,0,3
Function,"EmailClient.EmailClient.fetch",,0,6
Function,"EmailClient.EmailClient.get_occupied_size",,0,2
Function,"EmailClient.EmailClient.is_full_with_one_more_email",,0,2
Function,"EmailClient.EmailClient.send_to",,0,13
Module File,"EmailClient.py",3,0,32
Class,"ExcelProcessor.ExcelProcessor",4,0,40
Function,"ExcelProcessor.ExcelProcessor.__init__",,0,2
Function,"ExcelProcessor.ExcelProcessor.process_excel_data",,0,12
Function,"ExcelProcessor.ExcelProcessor.read_excel",,0,14
Function,"ExcelProcessor.ExcelProcessor.write_excel",,0,11
Module File,"ExcelProcessor.py",4,0,41
Class,"ExpressionCalculator.ExpressionCalculator",9,0,64
Function,"ExpressionCalculator.ExpressionCalculator.__init__",,0,3
Function,"ExpressionCalculator.ExpressionCalculator._calculate",,0,17
Function,"ExpressionCalculator.ExpressionCalculator.calculate",,0,13
Function,"ExpressionCalculator.ExpressionCalculator.compare",,0,2
Function,"ExpressionCalculator.ExpressionCalculator.is_operator",,0,2
Function,"ExpressionCalculator.ExpressionCalculator.prepare",,0,21
Function,"ExpressionCalculator.ExpressionCalculator.transform",,0,2
Module File,"ExpressionCalculator.py",9,0,67
Class,"HRManagementSystem.HRManagementSystem",2,0,42
Function,"HRManagementSystem.HRManagementSystem.__init__",,0,2
Function,"HRManagementSystem.HRManagementSystem.add_employee",,0,11
Function,"HRManagementSystem.HRManagementSystem.get_employee",,0,5
Function,"HRManagementSystem.HRManagementSystem.list_employees",,0,11
Function,"HRManagementSystem.HRManagementSystem.remove_employee",,0,6
Function,"HRManagementSystem.HRManagementSystem.update_employee",,0,6
Module File,"HRManagementSystem.py",2,0,42
Class,"Hotel.Hotel",6,0,41
Function,"Hotel.Hotel.__init__",,0,4
Function,"Hotel.Hotel.book_room",,0,15
Function,"Hotel.Hotel.check_in",,0,12
Function,"Hotel.Hotel.check_out",,0,5
Function,"Hotel.Hotel.get_available_rooms",,0,4
Module File,"Hotel.py",6,0,41
Class,"HtmlUtil.HtmlUtil",3,0,28
Function,"HtmlUtil.HtmlUtil.__format_line_feed",,0,2
Function,"HtmlUtil.HtmlUtil.__init__",,0,10
Function,"HtmlUtil.HtmlUtil.extract_code_from_html_text",,0,9
Function,"HtmlUtil.HtmlUtil.format_line_html_text",,0,5
Module File,"HtmlUtil.py",3,0,32
Class,"IpUtil.IpUtil",3,0,29
Function,"IpUtil.IpUtil.get_binary",,0,7
Function,"IpUtil.IpUtil.get_hostname",,0,5
Function,"IpUtil.IpUtil.is_valid_ipv4",,0,6
Function,"IpUtil.IpUtil.is_valid_ipv6",,0,6
Module File,"IpUtil.py",3,0,31
Class,"JobMarketplace.JobMarketplace",2,0,28
Function,"JobMarketplace.JobMarketplace.__init__",,0,3
Function,"JobMarketplace.JobMarketplace.get_job_applicants",,0,2
Function,"JobMarketplace.JobMarketplace.matches_requirements",,0,2
Function,"JobMarketplace.JobMarketplace.post_job",,0,6
Function,"JobMarketplace.JobMarketplace.remove_job",,0,3
Function,"JobMarketplace.JobMarketplace.search_jobs",,0,2
Function,"JobMarketplace.JobMarketplace.submit_resume",,0,6
Function,"JobMarketplace.JobMarketplace.withdraw_resume",,0,3
Module File,"JobMarketplace.py",2,0,28
Class,"KappaCalculator.KappaCalculator",3,18,24
Function,"KappaCalculator.KappaCalculator.fleiss_kappa",,11,8
Function,"KappaCalculator.KappaCalculator.kappa",,7,13
Module File,"KappaCalculator.py",3,18,25
Class,"LongestWord.LongestWord",4,12,15
Function,"LongestWord.LongestWord.__init__",,1,2
Function,"LongestWord.LongestWord.add_word",,1,2
Function,"LongestWord.LongestWord.find_longest_word",,7,10
Module File,"LongestWord.py",4,12,17
Class,"Manacher.Manacher",3,7,21
Function,"Manacher.Manacher.__init__",,1,2
Function,"Manacher.Manacher.palindromic_length",,1,5
Function,"Manacher.Manacher.palindromic_string",,5,13
Module File,"Manacher.py",3,7,21
Class,"MetricsCalculator.MetricsCalculator",7,16,78
Function,"MetricsCalculator.MetricsCalculator.__init__",,1,5
Function,"MetricsCalculator.MetricsCalculator.accuracy",,4,19
Function,"MetricsCalculator.MetricsCalculator.f1_score",,2,7
Function,"MetricsCalculator.MetricsCalculator.precision",,4,18
Function,"MetricsCalculator.MetricsCalculator.recall",,4,18
Function,"MetricsCalculator.MetricsCalculator.update",,1,10
Module File,"MetricsCalculator.py",7,16,78
Class,"MetricsCalculator2.MetricsCalculator2",7,6,48
Function,"MetricsCalculator2.MetricsCalculator2.__init__",,0,2
Function,"MetricsCalculator2.MetricsCalculator2.map",,3,22
Function,"MetricsCalculator2.MetricsCalculator2.mrr",,3,21
Module File,"MetricsCalculator2.py",7,6,49
Class,"MinesweeperGame.MinesweeperGame",9,39,48
Function,"MinesweeperGame.MinesweeperGame.__init__",,6,6
Function,"MinesweeperGame.MinesweeperGame.check_won",,8,6
Function,"MinesweeperGame.MinesweeperGame.generate_mine_sweeper_map",,8,18
Function,"MinesweeperGame.MinesweeperGame.generate_playerMap",,6,2
Function,"MinesweeperGame.MinesweeperGame.sweep",,11,15
Module File,"MinesweeperGame.py",9,39,49
Class,"MusicPlayer.MusicPlayer",4,41,59
Function,"MusicPlayer.MusicPlayer.__init__",,3,4
Function,"MusicPlayer.MusicPlayer.add_song",,2,4
Function,"MusicPlayer.MusicPlayer.play",,1,2
Function,"MusicPlayer.MusicPlayer.previous_song",,6,10
Function,"MusicPlayer.MusicPlayer.remove_song",,5,8
Function,"MusicPlayer.MusicPlayer.set_volume",,3,6
Function,"MusicPlayer.MusicPlayer.shuffle",,4,8
Function,"MusicPlayer.MusicPlayer.stop",,2,6
Function,"MusicPlayer.MusicPlayer.switch_song",,6,10
Module File,"MusicPlayer.py",4,41,59
Class,"NLPDataProcessor.NLPDataProcessor",2,3,14
Function,"NLPDataProcessor.NLPDataProcessor.construct_stop_word_list",,1,3
Function,"NLPDataProcessor.NLPDataProcessor.process",,1,3
Function,"NLPDataProcessor.NLPDataProcessor.remove_stop_words",,1,7
Module File,"NLPDataProcessor.py",2,3,14
Class,"NumberConverter.NumberConverter",1,12,19
Function,"NumberConverter.NumberConverter.binary_to_decimal",,1,2
Function,"NumberConverter.NumberConverter.decimal_to_binary",,3,2
Function,"NumberConverter.NumberConverter.decimal_to_hex",,3,2
Function,"NumberConverter.NumberConverter.decimal_to_octal",,3,2
Function,"NumberConverter.NumberConverter.hex_to_decimal",,1,2
Function,"NumberConverter.NumberConverter.octal_to_decimal",,1,2
Module File,"NumberConverter.py",1,12,19
Class,"NumberWordFormatter.NumberWordFormatter",5,18,50
Function,"NumberWordFormatter.NumberWordFormatter.__init__",,2,7
Function,"NumberWordFormatter.NumberWordFormatter.format",,3,7
Function,"NumberWordFormatter.NumberWordFormatter.format_integer",,1,11
Function,"NumberWordFormatter.NumberWordFormatter.format_string",,3,2
Function,"NumberWordFormatter.NumberWordFormatter.parse_more",,3,2
Function,"NumberWordFormatter.NumberWordFormatter.trans_three",,3,11
Function,"NumberWordFormatter.NumberWordFormatter.trans_two",,3,9
Module File,"NumberWordFormatter.py",5,18,50
Class,"NumericEntityUnescaper.NumericEntityUnescaper",7,22,27
Function,"NumericEntityUnescaper.NumericEntityUnescaper.__init__",,1,2
Function,"NumericEntityUnescaper.NumericEntityUnescaper.is_hex_char",,1,2
Function,"NumericEntityUnescaper.NumericEntityUnescaper.replace",,20,21
Module File,"NumericEntityUnescaper.py",7,22,27
Class,"Order.Order",4,11,26
Function,"Order.Order.__init__",,1,4
Function,"Order.Order.add_dish",,4,8
Function,"Order.Order.calculate_total",,3,8
Function,"Order.Order.checkout",,3,5
Module File,"Order.py",4,11,26
Class,"PDFHandler.PDFHandler",4,26,24
Function,"PDFHandler.PDFHandler.__init__",,6,3
Function,"PDFHandler.PDFHandler.extract_text_from_pdfs",,7,9
Function,"PDFHandler.PDFHandler.merge_pdfs",,10,11
Module File,"PDFHandler.py",4,26,25
Class,"PageUtil.PageUtil",1,35,35
Function,"PageUtil.PageUtil.__init__",,6,5
Function,"PageUtil.PageUtil.get_page",,7,4
Function,"PageUtil.PageUtil.get_page_info",,7,13
Function,"PageUtil.PageUtil.search",,11,12
Module File,"PageUtil.py",1,35,35
Class,"RPGCharacter.RPGCharacter",2,0,28
Function,"RPGCharacter.RPGCharacter.__init__",,0,7
Function,"RPGCharacter.RPGCharacter.attack",,0,3
Function,"RPGCharacter.RPGCharacter.gain_exp",,0,5
Function,"RPGCharacter.RPGCharacter.heal",,0,3
Function,"RPGCharacter.RPGCharacter.is_alive",,0,2
Function,"RPGCharacter.RPGCharacter.level_up",,0,7
Module File,"RPGCharacter.py",2,0,28
Class,"RegexUtils.RegexUtils",1,0,21
Function,"RegexUtils.RegexUtils.extract_email",,0,2
Function,"RegexUtils.RegexUtils.findall",,0,2
Function,"RegexUtils.RegexUtils.generate_email_pattern",,0,2
Function,"RegexUtils.RegexUtils.generate_phone_number_pattern",,0,2
Function,"RegexUtils.RegexUtils.generate_split_sentences_pattern",,0,2
Function,"RegexUtils.RegexUtils.match",,0,2
Function,"RegexUtils.RegexUtils.split",,0,2
Function,"RegexUtils.RegexUtils.split_sentences",,0,2
Function,"RegexUtils.RegexUtils.sub",,0,2
Function,"RegexUtils.RegexUtils.validate_phone_number",,0,2
Module File,"RegexUtils.py",1,0,22
Class,"Server.Server",3,0,33
Function,"Server.Server.__init__",,0,4
Function,"Server.Server.add_white_list",,0,6
Function,"Server.Server.del_white_list",,0,6
Function,"Server.Server.recv",,0,6
Function,"Server.Server.send",,0,3
Function,"Server.Server.show",,0,7
Module File,"Server.py",3,0,33
Class,"ShoppingCart.ShoppingCart",3,0,21
Function,"ShoppingCart.ShoppingCart.__init__",,0,2
Function,"ShoppingCart.ShoppingCart.add_item",,0,5
Function,"ShoppingCart.ShoppingCart.remove_item",,0,6
Function,"ShoppingCart.ShoppingCart.total_price",,0,5
Function,"ShoppingCart.ShoppingCart.view_items",,0,2
Module File,"ShoppingCart.py",3,0,21
Class,"Snake.Snake",4,0,36
Function,"Snake.Snake.__init__",,0,8
Function,"Snake.Snake.eat_food",,0,4
Function,"Snake.Snake.move",,0,10
Function,"Snake.Snake.random_food_position",,0,8
Function,"Snake.Snake.reset",,0,5
Module File,"Snake.py",4,0,37
Class,"SplitSentence.SplitSentence",3,0,15
Function,"SplitSentence.SplitSentence.count_words",,0,3
Function,"SplitSentence.SplitSentence.process_text_file",,0,8
Function,"SplitSentence.SplitSentence.split_sentences",,0,3
Module File,"SplitSentence.py",3,0,16
Class,"Statistics3.Statistics3",1,0,24
Function,"Statistics3.Statistics3.correlation",,0,2
Function,"Statistics3.Statistics3.correlation_matrix",,0,2
Function,"Statistics3.Statistics3.mean",,0,2
Function,"Statistics3.Statistics3.median",,0,2
Function,"Statistics3.Statistics3.mode",,0,2
Function,"Statistics3.Statistics3.standard_deviation",,0,2
Function,"Statistics3.Statistics3.z_score",,0,4
Module File,"Statistics3.py",1,0,28
Class,"StockPortfolioTracker.StockPortfolioTracker",3,0,38
Function,"StockPortfolioTracker.StockPortfolioTracker.__init__",,0,3
Function,"StockPortfolioTracker.StockPortfolioTracker.add_stock",,0,2
Function,"StockPortfolioTracker.StockPortfolioTracker.buy_stock",,0,7
Function,"StockPortfolioTracker.StockPortfolioTracker.calculate_portfolio_value",,0,5
Function,"StockPortfolioTracker.StockPortfolioTracker.get_portfolio_summary",,0,4
Function,"StockPortfolioTracker.StockPortfolioTracker.get_stock_value",,0,2
Function,"StockPortfolioTracker.StockPortfolioTracker.remove_stock",,0,6
Function,"StockPortfolioTracker.StockPortfolioTracker.sell_stock",,0,8
Module File,"StockPortfolioTracker.py",3,0,38
Class,"Thermostat.Thermostat",3,0,40
Function,"Thermostat.Thermostat.__init__",,0,4
Function,"Thermostat.Thermostat.auto_check_conflict",,0,8
Function,"Thermostat.Thermostat.auto_set_mode",,0,5
Function,"Thermostat.Thermostat.get_mode",,0,2
Function,"Thermostat.Thermostat.get_target_temperature",,0,2
Function,"Thermostat.Thermostat.set_mode",,0,5
Function,"Thermostat.Thermostat.set_target_temperature",,0,2
Function,"Thermostat.Thermostat.simulate_operation",,0,11
Module File,"Thermostat.py",3,0,41
Class,"TriCalculator.TriCalculator",2,0,24
Function,"TriCalculator.TriCalculator.__init__",,0,2
Function,"TriCalculator.TriCalculator.cos",,0,2
Function,"TriCalculator.TriCalculator.factorial",,0,5
Function,"TriCalculator.TriCalculator.sin",,0,6
Function,"TriCalculator.TriCalculator.tan",,0,2
Function,"TriCalculator.TriCalculator.taylor",,0,6
Module File,"TriCalculator.py",2,0,25
Class,"TwentyFourPointGame.TwentyFourPointGame",2,0,16
Function,"TwentyFourPointGame.TwentyFourPointGame.__init__",,0,2
Function,"TwentyFourPointGame.TwentyFourPointGame._generate_cards",,0,2
Function,"TwentyFourPointGame.TwentyFourPointGame.answer",,0,2
Function,"TwentyFourPointGame.TwentyFourPointGame.evaluate_expression",,0,6
Function,"TwentyFourPointGame.TwentyFourPointGame.get_my_cards",,0,3
Module File,"TwentyFourPointGame.py",2,0,17
Class,"URLHandler.URLHandler",4,2,33
Function,"URLHandler.URLHandler.__init__",,0,2
Function,"URLHandler.URLHandler._get_scheme",,0,2
Function,"URLHandler.URLHandler.get_fragment",,1,6
Function,"URLHandler.URLHandler.get_host",,0,2
Function,"URLHandler.URLHandler.get_path",,0,6
Function,"URLHandler.URLHandler.get_query_params",,1,12
Function,"URLHandler.URLHandler.get_scheme",,0,2
Module File,"URLHandler.py",4,2,33
Class,"UrlPath.UrlPath",2,0,14
Function,"UrlPath.UrlPath.__init__",,0,5
Function,"UrlPath.UrlPath.add",,0,2
Function,"UrlPath.UrlPath.fix_path",,0,2
Function,"UrlPath.UrlPath.parse",,0,3
Module File,"UrlPath.py",2,4,24
Class,"UserLoginDB.UserLoginDB",1,0,22
Function,"UserLoginDB.UserLoginDB.__init__",,0,3
Function,"UserLoginDB.UserLoginDB.create_table",,0,6
Function,"UserLoginDB.UserLoginDB.delete_user_by_username",,0,3
Function,"UserLoginDB.UserLoginDB.insert_user",,0,3
Function,"UserLoginDB.UserLoginDB.search_user_by_username",,0,3
Function,"UserLoginDB.UserLoginDB.validate_user_login",,0,3
Module File,"UserLoginDB.py",1,0,23
Class,"VectorUtil.VectorUtil",1,0,13
Function,"VectorUtil.VectorUtil.compute_idf_weight_dict",,0,2
Function,"VectorUtil.VectorUtil.cosine_similarities",,0,2
Function,"VectorUtil.VectorUtil.n_similarity",,0,2
Function,"VectorUtil.VectorUtil.similarity",,0,2
Module File,"VectorUtil.py",1,0,15
Class,"VendingMachine.VendingMachine",3,0,30
Function,"VendingMachine.VendingMachine.__init__",,0,3
Function,"VendingMachine.VendingMachine.add_item",,0,2
Function,"VendingMachine.VendingMachine.display_items",,0,7
Function,"VendingMachine.VendingMachine.insert_coin",,0,3
Function,"VendingMachine.VendingMachine.purchase_item",,0,8
Function,"VendingMachine.VendingMachine.restock_item",,0,6
Module File,"VendingMachine.py",3,0,30
Class,"WeatherSystem.WeatherSystem",4,0,29
Function,"WeatherSystem.WeatherSystem.__init__",,0,5
Function,"WeatherSystem.WeatherSystem.celsius_to_fahrenheit",,0,5
Function,"WeatherSystem.WeatherSystem.fahrenheit_to_celsius",,0,5
Function,"WeatherSystem.WeatherSystem.query",,0,11
Function,"WeatherSystem.WeatherSystem.set_city",,0,2
Module File,"WeatherSystem.py",4,0,29
Class,"Words2Numbers.Words2Numbers",5,0,39
Function,"Words2Numbers.Words2Numbers.__init__",,0,18
Function,"Words2Numbers.Words2Numbers.is_valid_input",,0,5
Function,"Words2Numbers.Words2Numbers.text2int",,0,15
Module File,"Words2Numbers.py",5,0,39
