Kind,Name,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment,,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment
Class,JSONProcessor.JSONProcessor,4,2,1.13,4,3,16,30,34,,,,,,,,,
Class,JSONProcessor.JSONProcessor,4,2,0.55,0,3,9,29,16,,,,,,,,,
Class,JSONProcessor.JSONProcessor,4,2,1.18,1,3,9,28,33,,,,,,,,,
Class,Lemmatization.Lemmatization,6,2,0.33,1,4,11,30,10,,,,,,,,,
Class,Lemmatization.Lemmatization,6,2,0.39,1,4,10,28,11,,,,,,,,,
Class,Lemmatization.Lemmatization,6,2,0.63,2,4,13,30,19,,,,,,,,,
Class,MahjongConnect.MahjongConnect,6,4,0.45,2,6,5,44,20,,,,,,,,,
Class,MahjongConnect.MahjongConnect,5,3,0.27,2,6,5,51,14,,,,,,,,,
Class,MetricsCalculator.MetricsCalculator,6,2,0.16,1,6,5,38,6,,,,,,,,,
Class,MovieBookingSystem.MovieBookingSystem,6,4,0.24,1,4,6,34,8,,,,,,,,,
Class,MovieBookingSystem.MovieBookingSystem,6,4,0.32,1,4,11,38,12,,,,,,,,,
Class,MovieBookingSystem.MovieBookingSystem,5,2,1.76,1,4,12,33,58,,,,,,,,,
Class,MovieTicketDB.MovieTicketDB,1,0,0.12,0,5,4,33,4,,,,,,,,,
Class,MovieTicketDB.MovieTicketDB,1,0,0.21,0,5,4,33,7,,,,,,,,,
Class,NLPDataProcessor2.NLPDataProcessor2,2,1,0.46,1,3,2,13,6,,,,,,,,,
Class,NLPDataProcessor2.NLPDataProcessor2,2,1,0.76,1,3,2,17,13,,,,,,,,,
Class,NLPDataProcessor2.NLPDataProcessor2,2,1,0.76,2,3,15,21,16,,,,,,,,,
Class,NumberConverter.NumberConverter,1,0,0.32,1,6,5,19,6,,,,,,,,,
Class,NumberConverter.NumberConverter,1,0,0.63,1,6,6,19,12,,,,,,,,,
Class,NumberConverter.NumberConverter,1,0,0.95,1,6,5,19,18,,,,,,,,,
Class,PDFHandler.PDFHandler,3,2,0.68,0,3,7,19,13,,,,,,,,,
Class,PersonRequest.PersonRequest,2,1,0,1,4,3,17,0,,,,,,,,,
Class,PersonRequest.PersonRequest,2,1,0,1,4,3,18,0,,,,,,,,,
Class,PersonRequest.PersonRequest,2,1,1.5,1,4,7,18,27,,,,,,,,,
Class,PersonRequest.PersonRequest,2,1,1.05,1,4,6,21,22,,,,,,,,,
Class,PushBoxGame.PushBoxGame,13,3,0.03,1,4,10,63,2,,,,,,,,,
Class,PushBoxGame.PushBoxGame,13,3,0.04,1,4,9,57,2,,,,,,,,,
Class,PushBoxGame.PushBoxGame,12,3,1.22,2,5,12,63,77,,,,,,,,,
Class,SignInSystem.SignInSystem,3,2,0,0,6,5,24,0,,,,,,,,,
Class,SignInSystem.SignInSystem,2,1,0,0,6,5,21,0,,,,,,,,,
Class,SignInSystem.SignInSystem,3,2,1.52,0,6,6,31,47,,,,,,,,,
Class,SignInSystem.SignInSystem,2,1,0.63,0,6,5,19,12,,,,,,,,,
Class,SQLGenerator.SQLGenerator,3,1,0,0,7,6,32,0,,,,,,,,,
Class,SQLGenerator.SQLGenerator,3,1,0,0,7,6,32,0,,,,,,,,,
Class,SQLGenerator.SQLGenerator,3,1,0.75,2,7,20,36,27,,,,,,,,,
Class,SQLQueryBuilder.SQLQueryBuilder,2,1,0,0,4,3,28,0,,,,,,,,,
Class,SQLQueryBuilder.SQLQueryBuilder,3,1,0,1,4,3,28,0,,,,,,,,,
Class,SQLQueryBuilder.SQLQueryBuilder,4,2,0.49,2,4,18,47,23,,,,,,,,,
Class,StudentDatabaseProcessor.StudentDatabaseProcessor,2,2,0,0,5,4,52,0,,,,,,,,,
Class,StudentDatabaseProcessor.StudentDatabaseProcessor,1,0,0,0,5,4,29,0,,,,,,,,,
Class,StudentDatabaseProcessor.StudentDatabaseProcessor,1,0,1.02,0,6,6,42,43,,,,,,,,,
Class,TextFileProcessor.TextFileProcessor,2,2,0,4,5,4,28,0,,,,,,,,,
Class,TicTacToe.TicTacToe,7,2,0.11,1,4,6,27,3,,,,,,,,,
Class,TicTacToe.TicTacToe,7,3,0.11,1,4,6,28,3,,,,,,,,,
Class,TicTacToe.TicTacToe,7,2,1.26,1,4,4,27,34,,,,,,,,,
Class,TicTacToe.TicTacToe,8,2,0.8,2,4,3,35,28,,,,,,,,,
Class,TimeUtils.TimeUtils,1,0,0,0,8,7,21,0,,,,,,,,,
Class,TimeUtils.TimeUtils,1,0,0,0,8,7,22,0,,,,,,,,,
Class,TimeUtils.TimeUtils,1,0,3.04,0,8,8,23,70,,,,,,,,,
Class,Warehouse.Warehouse,2,1,0,0,7,6,35,0,,,,,,,,,
Class,Warehouse.Warehouse,2,1,2.59,0,7,7,37,96,,,,,,,,,
Class,XMLProcessor.XMLProcessor,4,3,0.02,2,5,4,42,1,,,,,,,,,
Class,XMLProcessor.XMLProcessor,2,1,0.85,0,5,5,26,22,,,,,,,,,
Class,ZipFileProcessor.ZipFileProcessor,3,3,0,0,5,4,31,0,,,,,,,,,
Class,ZipFileProcessor.ZipFileProcessor,4,4,0,2,5,4,36,0,,,,,,,,,
