Kind,Name,MaxCyclomatic,CountLineCode,CountLineComment
Function,"GomokuGame.GomokuGame.make_move",,6,0
Module File,"GomokuGame.py",6,33,0
Class,"IPAddress.IPAddress",5,27,0
Function,"IPAddress.IPAddress.__init__",,2,0
Function,"IPAddress.IPAddress.get_binary",,9,0
Function,"IPAddress.IPAddress.get_octets",,5,0
Function,"IPAddress.IPAddress.is_valid",,10,0
Module File,"IPAddress.py",5,27,0
Class,"ImageProcessor.ImageProcessor",2,18,0
Function,"ImageProcessor.ImageProcessor.__init__",,2,0
Function,"ImageProcessor.ImageProcessor.adjust_brightness",,4,0
Function,"ImageProcessor.ImageProcessor.load_image",,2,0
Function,"ImageProcessor.ImageProcessor.resize_image",,3,0
Function,"ImageProcessor.ImageProcessor.rotate_image",,3,0
Function,"ImageProcessor.ImageProcessor.save_image",,3,0
Module File,"ImageProcessor.py",2,19,0
Class,"JSONProcessor.JSONProcessor",4,34,0
Function,"JSONProcessor.JSONProcessor.__init__",,2,0
Function,"JSONProcessor.JSONProcessor.process_json",,15,0
Function,"JSONProcessor.JSONProcessor.read_json",,9,0
Function,"JSONProcessor.JSONProcessor.write_json",,7,0
Module File,"JSONProcessor.py",4,36,0
Class,"Lemmatization.Lemmatization",6,30,10
Function,"Lemmatization.Lemmatization.__init__",,2,1
Function,"Lemmatization.Lemmatization.get_pos_tag",,5,4
Function,"Lemmatization.Lemmatization.lemmatize_sentence",,18,4
Function,"Lemmatization.Lemmatization.remove_punctuation",,4,1
Module File,"Lemmatization.py",6,37,10
Class,"MahjongConnect.MahjongConnect",6,44,20
Function,"MahjongConnect.MahjongConnect.__init__",,4,2
Function,"MahjongConnect.MahjongConnect.create_board",,3,1
Function,"MahjongConnect.MahjongConnect.has_path",,15,10
Function,"MahjongConnect.MahjongConnect.is_game_over",,6,1
Function,"MahjongConnect.MahjongConnect.is_valid_move",,12,5
Function,"MahjongConnect.MahjongConnect.remove_icons",,3,1
Module File,"MahjongConnect.py",6,45,20
Class,"MetricsCalculator.MetricsCalculator",6,38,6
Function,"MetricsCalculator.MetricsCalculator.__init__",,5,1
Function,"MetricsCalculator.MetricsCalculator.accuracy",,6,1
Function,"MetricsCalculator.MetricsCalculator.f1_score",,6,1
Function,"MetricsCalculator.MetricsCalculator.precision",,5,1
Function,"MetricsCalculator.MetricsCalculator.recall",,5,1
Function,"MetricsCalculator.MetricsCalculator.update",,10,1
Module File,"MetricsCalculator.py",6,38,6
Class,"MovieBookingSystem.MovieBookingSystem",6,34,8
Function,"MovieBookingSystem.MovieBookingSystem.__init__",,2,0
Function,"MovieBookingSystem.MovieBookingSystem.add_movie",,13,3
Function,"MovieBookingSystem.MovieBookingSystem.available_movies",,8,2
Function,"MovieBookingSystem.MovieBookingSystem.book_ticket",,10,3
Module File,"MovieBookingSystem.py",6,36,8
Class,"MovieTicketDB.MovieTicketDB",1,33,4
Function,"MovieTicketDB.MovieTicketDB.__init__",,4,0
Function,"MovieTicketDB.MovieTicketDB.create_table",,10,1
Function,"MovieTicketDB.MovieTicketDB.delete_ticket",,6,1
Function,"MovieTicketDB.MovieTicketDB.insert_ticket",,6,1
Function,"MovieTicketDB.MovieTicketDB.search_tickets_by_customer",,6,1
Module File,"MovieTicketDB.py",1,34,4
Class,"NLPDataProcessor2.NLPDataProcessor2",2,13,6
Function,"NLPDataProcessor2.NLPDataProcessor2.calculate_word_frequency",,3,2
Function,"NLPDataProcessor2.NLPDataProcessor2.process",,3,2
Function,"NLPDataProcessor2.NLPDataProcessor2.process_data",,6,2
Module File,"NLPDataProcessor2.py",2,15,6
Class,"NumberConverter.NumberConverter",1,19,6
Function,"NumberConverter.NumberConverter.binary_to_decimal",,2,1
Function,"NumberConverter.NumberConverter.decimal_to_binary",,2,1
Function,"NumberConverter.NumberConverter.decimal_to_hex",,2,1
Function,"NumberConverter.NumberConverter.decimal_to_octal",,2,1
Function,"NumberConverter.NumberConverter.hex_to_decimal",,2,1
Function,"NumberConverter.NumberConverter.octal_to_decimal",,2,1
Module File,"NumberConverter.py",1,19,6
Class,"PersonRequest.PersonRequest",2,17,0
Function,"PersonRequest.PersonRequest.__init__",,4,0
Function,"PersonRequest.PersonRequest._validate_name",,4,0
Function,"PersonRequest.PersonRequest._validate_phoneNumber",,4,0
Function,"PersonRequest.PersonRequest._validate_sex",,4,0
Module File,"PersonRequest.py",2,17,0
Class,"PushBoxGame.PushBoxGame",13,63,2
Function,"PushBoxGame.PushBoxGame.__init__",,9,0
Function,"PushBoxGame.PushBoxGame.check_win",,7,0
Function,"PushBoxGame.PushBoxGame.init_game",,11,0
Function,"PushBoxGame.PushBoxGame.move",,35,2
Module File,"PushBoxGame.py",13,63,2
Class,"SQLGenerator.SQLGenerator",3,32,0
Function,"SQLGenerator.SQLGenerator.__init__",,2,0
Function,"SQLGenerator.SQLGenerator.delete",,3,0
Function,"SQLGenerator.SQLGenerator.insert",,5,0
Function,"SQLGenerator.SQLGenerator.select",,11,0
Function,"SQLGenerator.SQLGenerator.select_by_age_range",,3,0
Function,"SQLGenerator.SQLGenerator.select_female_under_age",,3,0
Function,"SQLGenerator.SQLGenerator.update",,4,0
Module File,"SQLGenerator.py",3,32,0
Class,"SQLQueryBuilder.SQLQueryBuilder",2,28,0
Function,"SQLQueryBuilder.SQLQueryBuilder.delete",,6,0
Function,"SQLQueryBuilder.SQLQueryBuilder.insert",,4,0
Function,"SQLQueryBuilder.SQLQueryBuilder.select",,6,0
Function,"SQLQueryBuilder.SQLQueryBuilder.update",,7,0
Module File,"SQLQueryBuilder.py",2,28,0
Class,"SignInSystem.SignInSystem",3,24,0
Function,"SignInSystem.SignInSystem.__init__",,2,0
Function,"SignInSystem.SignInSystem.add_user",,5,0
Function,"SignInSystem.SignInSystem.all_not_signed_in",,2,0
Function,"SignInSystem.SignInSystem.all_signed_in",,5,0
Function,"SignInSystem.SignInSystem.check_sign_in",,4,0
Function,"SignInSystem.SignInSystem.sign_in",,5,0
Module File,"SignInSystem.py",3,24,0
Class,"StudentDatabaseProcessor.StudentDatabaseProcessor",2,52,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.__init__",,2,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.create_student_table",,15,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.delete_student_by_name",,11,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.insert_student",,11,0
Function,"StudentDatabaseProcessor.StudentDatabaseProcessor.search_student_by_name",,12,0
Module File,"StudentDatabaseProcessor.py",2,53,0
Class,"TicTacToe.TicTacToe",7,27,3
Function,"TicTacToe.TicTacToe.__init__",,3,0
Function,"TicTacToe.TicTacToe.check_winner",,12,3
Function,"TicTacToe.TicTacToe.is_board_full",,5,0
Function,"TicTacToe.TicTacToe.make_move",,6,0
Module File,"TicTacToe.py",7,27,3
Class,"TimeUtils.TimeUtils",1,21,0
Function,"TimeUtils.TimeUtils.__init__",,2,0
Function,"TimeUtils.TimeUtils.add_seconds",,3,0
Function,"TimeUtils.TimeUtils.datetime_to_string",,2,0
Function,"TimeUtils.TimeUtils.get_current_date",,2,0
Function,"TimeUtils.TimeUtils.get_current_time",,2,0
Function,"TimeUtils.TimeUtils.get_format_time",,2,0
Function,"TimeUtils.TimeUtils.get_minutes",,5,0
Function,"TimeUtils.TimeUtils.string_to_datetime",,2,0
Module File,"TimeUtils.py",1,23,0
Class,"ZipFileProcessor.ZipFileProcessor",3,31,0
Function,"ZipFileProcessor.ZipFileProcessor.__init__",,2,0
Function,"ZipFileProcessor.ZipFileProcessor.create_zip_file",,8,0
Function,"ZipFileProcessor.ZipFileProcessor.extract_all",,7,0
Function,"ZipFileProcessor.ZipFileProcessor.extract_file",,7,0
Function,"ZipFileProcessor.ZipFileProcessor.read_zip_file",,6,0
Module File,"ZipFileProcessor.py",3,32,0
